# Acquisition Start Time: 2025-08-12 23:12:19.268
# Event recording for acquisition session
# Data source: 事件数据
# Contains error_range for patient training

time(s),event_name,event_code,stage,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,weight10,error_range
17.865829,开始训练,training_start,阶段1,1578.0936642790186,2528.351020574383,1174.9466080027532,2006.200040946976,1618.1324404247775,1846.3007379076778,1088.0516921789226,2459.883539700268,1534.9999999391891,199.9904650363056,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
21.325266,完成阶段,stage_complete,阶段1,2611.3012049633458,2530.1090942831574,1173.1432270644184,1937.222181344521,1618.0765957702008,1773.3760933856402,1015.8431972178034,2462.5352571993817,1457.261381606287,200.06626755488446,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
29.965616,开始矫正(胸段),correction_start_up,阶段2A,1655.3474680773502,2160.369345633892,1176.5933225703623,1935.991433467347,1620.8140826711158,1757.6758394439653,1080.5130726496466,2076.8218836230476,1438.5963416950808,202.9987962222733,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
31.55584,矫正完成(胸段),correction_complete_up,阶段2A,2556.047018587094,2157.4713504264055,1180.9950108417786,1934.8744727616952,1623.415247671516,1753.5815670992363,1048.2819864607623,2070.5446701610535,1432.5178177167172,199.84817585499945,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
39.276188,开始矫正(腰段),correction_start_down,阶段2B,1606.690875109721,2156.2997239249753,1180.4077571817093,1931.3840714677513,1623.4914289875098,1756.9105462138562,1078.4609880104078,2069.556574381992,1433.5803837306585,202.05221537414732,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
41.279008,矫正完成(腰段),correction_complete_down,阶段2B,2533.9817783697376,2155.3436303510493,1175.5647287526401,1926.5036344536231,1618.3324284512128,1750.0612816288692,1043.3339820191902,2067.750552759801,1426.852237086841,198.9865595388101,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
47.012453,开始沉髋,hip_start,阶段3,1606.7729332631297,2156.356407773207,1166.7599709085014,1928.1138665963706,1614.3164372597457,1752.0081384611844,1085.911064001545,2068.7473370146977,1429.253973224512,203.06465096804683,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
48.733727,沉髋完成,hip_complete,阶段3,2637.4059700461094,2151.5032953658924,1166.127212724076,1928.4377856805074,1609.8167517313611,1751.0124128971524,1035.8310133987884,2065.031116597268,1426.9773531757555,199.89835812857754,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
52.474775,开始沉肩,shoulder_start,阶段4,1609.195570737127,2156.366017303195,1164.7631105045623,1926.419029420891,1608.489671282768,1750.4346772349122,1088.108277263487,2067.536829074204,1427.5128048399465,203.1247326307589,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
55.635599,沉肩完成,shoulder_complete,阶段4,2481.915630059297,2153.0101002020724,1161.6580216400037,1927.7524162653867,1604.3833743330003,1749.9924822417604,1013.0630583420716,2064.5677896478073,1425.6065616963217,198.65506781913325,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
